Name,flt,lds,alds,strpk,nrg,flu,entr,danc,bpm,ptch,mfcc1,mfcc2,mfcc3,mfcc4
Gilberto Santa Rosa - Oveja Negra (Salsa Version (Cover Audio))-7cOzOilvktE-recortado.wav,0.36842375465212585,-0.2958493865071074,0.8599602892509693,0.45502911804666296,-0.7500626101110784,-0.5542843665509896,0.5243216638393025,0.6535415307205326,-0.737239775803229,-0.3580326732350772,0.44136204926305506,0.5198059617218397,-0.1643663517646577,0.5805681663035867
Gilberto Santa Rosa - Peligro (Cover Audio)-pIGCEj__IgA-recortado.wav,0.33931024632017565,-0.19624487569146543,0.8319700501464372,0.6142560894859157,-0.8134698844265538,0.0041738718056971566,0.5138883228836115,0.9638114462066696,-1.7070678995905726,0.393177684240153,0.49519577128907655,0.5631837543611048,-0.7482610974267145,0.45538925875539943
Gilberto Santa Rosa - Que Alguien Me Diga (Video Oficial)-0ZfwT6lHahk-recortado.wav,0.6317990649604515,-0.3731851775086263,0.3244783482807257,0.7145667320934861,-1.0831957468080637,-0.8119326422246952,0.3151234453374712,0.2891850339005342,1.4546238358264079,0.8449031651451324,0.3266831373958347,0.7648997258110157,-0.5649617609027616,0.43364997522636545
Gilberto Santa Rosa - Si No Lo Digo Ahora-Jb7jZ0Wo0IM-recortado.wav,0.18666418118084915,0.6176816526866421,0.764836089913204,0.6401789675483327,-0.8955818840891683,-0.06701925102484711,0.666204211504979,0.5018001881537479,-0.5776229206408818,0.5315034183337289,0.5428227240068068,0.28784876968610185,0.32857100912714643,0.462266389207632
Gilberto Santa Rosa - Sin Voluntad (Letra)-0ttAkmd-YS4-recortado.wav,0.5868949173562887,-1.216654266163248,0.5012768720044661,0.5411188516888442,-1.4365212015159519,-1.1618537273373206,0.41092887475666523,0.37628715103570337,1.1530262827964182,0.6376626737124768,0.20902572623153443,0.7455189507679646,-1.969492575093732,0.3019323372905601
Gilberto Santa Rosa - Sombra Loca (Video Version)-0K20Kmw6JyY-recortado.wav,0.4162684412992259,-0.40714013014371264,0.9445828587065925,0.37779952663233873,0.1383510940201646,0.6346977507547495,0.6470408933081373,0.8870018076495574,1.3672668624173192,0.05268216276482431,0.6440921054971904,0.46611540718589484,0.7107508533941899,0.5367675873449139
Gilberto Santa Rosa - Te Propongo (Video Oficial)-wh21tFCmzV0-recortado.wav,0.3287699137098121,-0.2805283062170651,0.6096412834035662,0.8476689649840926,-0.8345586522573539,-0.614004962447121,0.5691446033047578,0.28715851768337286,1.3644941781482356,0.6617713781853195,0.645721265257664,0.4639980936969983,-1.9289128926078873,0.4615230887518624
Gilberto Santa Rosa -Perdoname-NKsORcOiNMI-recortado.wav,0.5075479534615455,-0.6657229044529498,-0.00706970422918362,0.5030832395030248,-1.0241248829918983,-1.2232828536234805,0.4093629888551092,0.24607686678686783,0.9573686307084444,0.5102135327514097,0.36243678391397566,0.7956964654958176,-1.2146000430008241,0.14631347877248527
Gilberto santa rosa-Bemba colora-celia cruz-(homenaje )-frIeAYHNrQY-recortado.wav,0.4108863686368408,0.6442878863278255,0.5012768720044661,0.6052686363424363,-0.35037313677516685,0.18830170970977805,0.5643696313448668,0.4193018396154388,-0.4949581296029038,0.36534916297017045,0.585199627051633,0.5589178871424838,-0.9060564820783545,0.47804895908902345
Gracias Amor - Orquesta Matecaña-t2awLqpkCks-recortado.wav,0.6164405277995103,-1.2705818363763055,0.9157364555946224,0.6641086545900328,-0.06781153046946536,-0.06610707336475595,0.45030605942818325,0.9053021494364043,-0.527405503124364,0.08192497032936019,0.5653243847109516,0.6226770421573612,-0.9003882706260529,0.6031459911737477
Gran Combo dime que quieres de mi-7587yV6tHLE-recortado.wav,0.3388831000098091,0.18774985237339534,0.6865671330150503,0.5899538272395601,-1.2775744566365432,-0.6951554238260902,0.5411729046783703,0.5047450571679362,-1.526599557038776,1.0734457342833361,0.5277508425897733,0.4377915509395881,-1.2816445013659385,0.501414902693996
GRUPO CANEO-QUIEN PIENSA EN TI-EXITO 2008-6gsl84Z-Kt8-recortado.wav,0.11925271717039852,2.837785903849282,0.8784865108755545,0.5188014933409517,-0.35283954204636103,-0.019542296675966637,0.7943515006037035,0.5418682365470736,-0.8274425246902685,0.07721393391371013,0.8092870809556595,0.16355113550139233,0.3752781184969216,0.47616485941972553
Grupo Gale - Beso a beso-AR3yLEf3SHo-recortado.wav,0.5480697154770813,-2.5758804615772015,0.7418169530768579,0.5969588626212525,0.11716828073693834,-0.5057996902416554,0.5362215255445906,0.5468048871231836,-0.8273670426474663,-1.1618374118951706,0.5210875031588722,0.32823033593004086,0.7349336866532257,0.741961289023043
grupo gale nadie te ama como yo.-I70jT7sPYqY-recortado.wav,0.8774070273502476,0.07962318010982992,0.8310511332089077,0.33765290817109606,1.3239248678034226,0.07780292361488446,0.2496453492293246,0.5367274091731675,1.8451911505284342,-1.579769984846587,0.2346309996215183,0.5967772428700393,1.9164168334741072,0.7403302500558235
Grupo Niche -  Una Aventura  (Video Original)-UwnmzIgNzyU-recortado.wav,0.3515442238898636,-0.908284263971545,0.5012768720044661,0.3658708702119965,1.140473928010098,-0.08868617453594425,0.7803853882042551,0.24575106949650505,1.8266375960981358,-1.3212719785411178,0.8075224196959788,0.26448801988380294,-0.7739745126808144,0.6285953230187343
Grupo Niche - Algo que se quede (Video Oficial)-khB6DUHpR4o-recortado.wav,0.45150542468485205,1.0396615602296644,0.7136491572321468,0.4484964141037549,0.2878726542814701,-0.4203646078081091,0.4464760092284281,0.5847415265444318,0.24662766639760111,-0.9239977391887633,0.4567649313505519,0.6455743394320055,0.30139521364090205,0.3611302090544999
Grupo Niche - Amor Amor Amor-MVWgC_jL9VY-recortado.wav,0.308946054174508,1.36630969696792,0.8673408121605432,0.6869303533864145,-1.099242276468577,-0.44215772190459157,0.6412981319914953,0.5086619061380903,1.7311244634939602,1.2441842279809638,0.6507541780853537,0.34596991007228745,-1.1083325560384485,0.37321735415611884
Grupo Niche - Buenaventura Y Caney-IJpC90yDWZ8-recortado.wav,0.4743290742356794,0.2467619080617674,0.855678009843313,0.6725754692779242,-0.6131546284298051,-0.2525144540577339,0.5016544309277654,0.7559635987854663,-1.556135577922928,-0.21330241680935588,0.5154018622790939,0.6372453981233325,-1.4920379357470208,0.6371342753903245
